product_id,sales,sold_in_distinct_parcels,in_distinct_dates_scanned,special_positive_rate_by_order,special_positive_rate_by_parcel,special_positive_rate_by_date,marked_has_battery_pct,marked_has_liquid_pct,marked_has_sensitive_pct,time,product_name,true_tag_ids,tags
5b5a8d7440011726bd07e7f5,9,6,4,77.8,83.3,100.0,11.1,0.0,66.7,1562025600,30 Pcs 3 Colors Muhlenbergia Capillaris Muhly Grass Seeds Plant Seeds Ornamental Grasses,5ab2e79c30b04a340b9a76b3,"gras,muhlygrassplant,muhlygras,plantseedsforgardening,muhlenbergiacapillari,grassseed,grassseedsforlawn,ornamentalgrasse,pinkmuhlygrassseed,plant,whitmuhlygras,muhlygrassseed"
5c36a489ed35224f88bd4b34,9,6,6,100.0,100.0,100.0,0.0,0.0,100.0,1562025600,10 Colors Women Highlighter Eyeshadow Pencil Or Cosmetic Beauty Eyelash Mascara,540e1ffb0b6425323b42aa96,"makeuptoolsaccessorie,makeup,highlighter,womensfashion,eye,mascara,healthbeauty,pencil,beauty,cosmetic,eyeshadow,eyelinerpen,women"
595f012f189b03710288751c,9,5,5,66.7,40.0,40.0,11.1,0.0,55.6,1562025600,Good Quality Glitter Loose Powder Makeup Brighten Pigment Metallic Shimmer Eye Shadow Cosmetic,540e1ffb0b6425323b42aa96,"beautymakeup,makeup,beauty,eye,eyeshadowmakeup,eyeshadowpowder,metallic,glittereyeshadow,makeuptool,glitter,womeneyeshadow,cosmetic,eyemakeup,eyeshadow,powdermakeup,shimmereyeshadow"
5cf50ce445adca670cba4ef3,9,5,5,55.6,60.0,60.0,0.0,0.0,55.6,1562025600,Lovely Multifunctional Cartoon Cat Magnetic Sticker Fridge Magnet Hooks Refrigerator Sticker Creative Hooks White Broad Memo Pad Sticker Home Decal,563d08aa6c5463335caab7cc,"fridgedecor,kitchenhook,decal,cat,walldecal,hooksamphanger,magneticsticker,lovely,fridgemagnet,homeliving,home,cartoon,claspsamphook,wallsticker,kitchenamphome,refrigerator,magnet,sticker,fridgesticker,fridge,white,homekitchen"
5bfcef19c317f42c14041c6f,9,5,4,77.8,60.0,75.0,11.1,0.0,66.7,1562025600,Water Grass Seeds  Aquarium Seeds  Live Aquatic Plant Fish Tank Decoration Landscape Ornament,"5ab2e79c30b04a340b9a76b3,54c956cc2297f15bdc738ccd","ornament,gras,landscape,watergra,tank,fishtank,aquarium,decoration,fish,aquariumgrassseed,water,aquaticplant,plant,liveplant,seed"
5cb469730efa5c04b8af1528,9,5,5,77.8,60.0,60.0,0.0,0.0,77.8,1562025600,"Classic Metal Ballpen, Medium Point 1.0mm, Black Ink, Twist To Open Ballpoint Pen Smooth Writing Rollerball Pens Elegant Executive Signature Pen Classy Gift for Men Women, School, Office, Business, Professionals Channewer Stationery ","53ebfee121a8634ff500d116,54adab2358f1773d0f60caab","elegant,metal,gift,blackballpointpen,schoolsupplie,pen,businesspen,blackink,school,cheapballpointpen,ballpointpen,medium,office,black,classic,officestationery,writingpen,signaturepen,classy,refillablepen"
5cbdd7a9416a303ab421cd1a,9,5,5,100.0,100.0,100.0,22.2,0.0,77.8,1562025600,2019 Fashion New Metallics Nail Polish Mirror Nail Polish For Women Girl As Makeup Tool,"5478f28258f177436386b912,5c82b6c76fa88c2ae4214d0d","makeup,beauty,mirror,womensfashion,nailpolish,bling,fashion,nail,tool,metallicnailpolish,cosmetic,sexynailpolish,naildecoration,women"
5cedec260763b073ef8fbcdb,9,5,4,55.6,80.0,100.0,0.0,0.0,55.6,1562025600,4-Headed liquid Eyebrow Pencil Waterproof And Durable Four-Pronged natural Eyebrow Pencil Waterproof Fork Tip Micro blading Eyebrow Pen Makeup Tools,55e8d110601ef377ce212721,"beautywomen,pencil,eyebrowtattoo,beauty,waterproof,pen,makeup,tool,makeuptool,naturaleyebrowpencil,cosmetic,eyebrowpen,eyemakeup,eyebrowpencil,waterproofeyebrow"
5ce10bebdb2932038b714fc1,9,5,5,77.8,80.0,80.0,0.0,0.0,77.8,1562025600,100 pcs Hanging Petunia Beautiful Seeds Flower Seeds Perennials Bonsai Planting Home Plants Garden,"5ab2e79c30b04a340b9a76b3,5c82b6c76fa88c2ae4214d13","flowerseed,bonsaiseed,gardening,flower,hangingpetunia,homekitchen,bonsai,plantseed,homeliving,plant,home,garden,beautiful"
5c7a4b856d48c35984c647fe,9,4,4,66.7,75.0,75.0,0.0,0.0,66.7,1562025600,Fashion bonsai flower lotus flower for summer 100% real Bowl lotus pots Bonsai garden plants 20Pcs/bag,5ab2e79c30b04a340b9a76b3,"ornament,fashion,water,bonsai,summer,cultivation,seed,lotu,garden,flower"
